TRANS DATE;TRANS VAT DESC;ORIGINAL GROSS AMT;ORIGINAL CUR;BILLING GROSS AMT;BILLING CUR CODE;MERCHANT NAME;CARD NUMBER;TRANS CAC CODE 1;TRANS CAC DESC 1;TRANS CAC CODE 2;TRANS CAC DESC 2;TRANS CAC CODE 3;Directorate
30/06/17;VR;64.21;GBP;64.21;GBP;shell fiveways 387;************1147;K020;Vehicle Fuel;RV1K2;Elders Group - Ladywood;A00;Adult & Communities
27/06/17;VR;58.25;GBP;58.25;GBP;shell fiveways 387;************8738;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
27/06/17;VR;89.99;GBP;89.99;GBP;shell fiveways 387;************8738;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
20/06/17;VR;55.00;GBP;55.00;GBP;shell fiveways 387;************8738;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
16/06/17;VR;65.01;GBP;65.01;GBP;beeches road servi;************5804;K020;Vehicle Fuel;RVA12;Enablement Tyburn Rd;A00;Adult & Communities
12/06/17;VR;31.00;GBP;31.00;GBP;malthurst petroleu;************5804;K020;Vehicle Fuel;RVA12;Enablement Tyburn Rd;A00;Adult & Communities
21/06/17;VR;15.02;GBP;15.02;GBP;malthurst limited;************5804;K020;Vehicle Fuel;RVA12;Enablement Tyburn Rd;A00;Adult & Communities
20/06/17;VR;10.03;GBP;10.03;GBP;malthurst limited;************5804;K020;Vehicle Fuel;RVA12;Enablement Tyburn Rd;A00;Adult & Communities
16/06/17;VR;69.28;GBP;69.28;GBP;malthurst waterlinks;************2823;K020;Vehicle Fuel;RV191;Moseley Day Centre;A00;Adult & Communities
12/06/17;VR;58.85;GBP;58.85;GBP;shell kings 587;************2823;K020;Vehicle Fuel;RV191;Moseley Day Centre;A00;Adult & Communities
14/06/17;VR;68.31;GBP;68.31;GBP;texaco ash motor;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
09/06/17;VR;75.60;GBP;75.60;GBP;texaco ash motor;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
06/06/17;VR;62.01;GBP;62.01;GBP;texaco ash motor;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
28/06/17;VR;59.33;GBP;59.33;GBP;texaco ash motor;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
28/06/17;VR;60.80;GBP;60.80;GBP;texaco ash motor;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
