TRANS DATE;TRANS VAT DESC;ORIGINAL GROSS AMT;ORIGINAL CUR;BILLING GROSS AMT;BILLING CUR CODE;MERCHANT NAME;CARD NUMBER;TRANS CAC CODE 1;TRANS CAC DESC 1;TRANS CAC CODE 2;TRANS CAC DESC 2;TRANS CAC CODE 3;Directorate
28/04/17;VR;66.38;GBP;66.38;GBP;millpool service s;************5770;K020;Vehicle Fuel;RV12N;African-Caribbean DC;A00;Adult & Communities
28/04/17;VR;25.25;GBP;25.25;GBP;shell fiveways 387;************1147;K020;Vehicle Fuel;RV1K2;Elders Group - Ladywood;A00;Adult & Communities
26/04/17;VR;81.75;GBP;81.75;GBP;shell fiveways 387;************1147;K020;Vehicle Fuel;RV1K2;Elders Group - Ladywood;A00;Adult & Communities
07/04/17;VR;73.29;GBP;73.29;GBP;shell fiveways 387;************1147;K020;Vehicle Fuel;RV1K2;Elders Group - Ladywood;A00;Adult & Communities
05/04/17;VR;75.70;GBP;75.70;GBP;shell fiveways 387;************1147;K020;Vehicle Fuel;RV1K2;Elders Group - Ladywood;A00;Adult & Communities
25/04/17;VR;57.55;GBP;57.55;GBP;shell fiveways 387;************8738;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
20/04/17;VR;70.38;GBP;70.38;GBP;shell fiveways 387;************8738;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
06/04/17;VR;74.00;GBP;74.00;GBP;shell fiveways 387;************8738;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
26/04/17;VR;61.49;GBP;61.49;GBP;perry barr service;************5804;K020;Vehicle Fuel;RVA12;Enablement Tyburn Rd;A00;Adult & Communities
05/04/17;VR;60.01;GBP;60.01;GBP;malthurst petroleu;************5804;K020;Vehicle Fuel;RVA12;Enablement Tyburn Rd;A00;Adult & Communities
20/04/17;VR;98.23;GBP;98.23;GBP;millpool service s;************2823;K020;Vehicle Fuel;RV191;Moseley Day Centre;A00;Adult & Communities
18/04/17;VR;61.97;GBP;61.97;GBP;malthurst waterlinks;************2823;K020;Vehicle Fuel;RV191;Moseley Day Centre;A00;Adult & Communities
04/04/17;VR;40.45;GBP;40.45;GBP;tesco pfs 2996;************2823;K020;Vehicle Fuel;RV191;Moseley Day Centre;A00;Adult & Communities
07/04/17;VR;66.18;GBP;66.18;GBP;shell kings 587;************6273;K020;Vehicle Fuel;RV12N;African-Caribbean DC;A00;Adult & Communities
28/04/17;VR;25.93;GBP;25.93;GBP;texaco ash motor;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
28/04/17;VR;38.00;GBP;38.00;GBP;texaco ash motor;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
25/04/17;VR;63.81;GBP;63.81;GBP;texaco ash motor;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
19/04/17;VR;57.00;GBP;57.00;GBP;w m morrison plc;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
07/04/17;VR;65.62;GBP;65.62;GBP;w m morrison plc;************7214;K020;Vehicle Fuel;RV12T;Shakti Elders Dce, 73 Conybere St, B12;A00;Adult & Communities
27/04/17;VZ;20.00;GBP;20.00;GBP;hmcourts-service.g;************8998;MC70;Supplies & Sev Mic;RV3T0;Mental Health Management Budget;A00;Adult & Communities
20/04/17;VZ;20.00;GBP;20.00;GBP;hmcourts-service.g;************8998;MC70;Supplies & Sev Mic;RV3T0;Mental Health Management Budget;A00;Adult & Communities
